Municipios;Sexo;Periodo;Total
29001 Alameda;Total;2025;5.426
29001 Alameda;Total;2024;5.449
29001 Alameda;Total;2023;5.434
29001 Alameda;Total;2022;5.451
29001 Alameda;Total;2021;5.453
29001 Alameda;Total;2020;5.387
29001 Alameda;Total;2019;5.372
29001 Alameda;Total;2018;5.366
29001 Alameda;Total;2017;5.384
29001 Alameda;Total;2016;5.390
29001 Alameda;Total;2015;5.403
29001 Alameda;Hombres;2025;2.754
29001 Alameda;Hombres;2024;2.750
29001 Alameda;Hombres;2023;2.743
29001 Alameda;Hombres;2022;2.757
29001 Alameda;Hombres;2021;2.765
29001 Alameda;Hombres;2020;2.724
29001 Alameda;Hombres;2019;2.735
29001 Alameda;Hombres;2018;2.716
29001 Alameda;Hombres;2017;2.714
29001 Alameda;Hombres;2016;2.730
29001 Alameda;Hombres;2015;2.731
29001 Alameda;Mujeres;2025;2.672
29001 Alameda;Mujeres;2024;2.699
29001 Alameda;Mujeres;2023;2.691
29001 Alameda;Mujeres;2022;2.694
29001 Alameda;Mujeres;2021;2.688
29001 Alameda;Mujeres;2020;2.663
29001 Alameda;Mujeres;2019;2.637
29001 Alameda;Mujeres;2018;2.650
29001 Alameda;Mujeres;2017;2.670
29001 Alameda;Mujeres;2016;2.660
29001 Alameda;Mujeres;2015;2.672
29002 Alcaucín;Total;2025;2.671
29002 Alcaucín;Total;2024;2.653
29002 Alcaucín;Total;2023;2.554
29002 Alcaucín;Total;2022;2.487
29002 Alcaucín;Total;2021;2.366
29002 Alcaucín;Total;2020;2.279
29002 Alcaucín;Total;2019;2.230
29002 Alcaucín;Total;2018;2.239
29002 Alcaucín;Total;2017;2.253
29002 Alcaucín;Total;2016;2.272
29002 Alcaucín;Total;2015;2.375
29002 Alcaucín;Hombres;2025;1.376
29002 Alcaucín;Hombres;2024;1.351
29002 Alcaucín;Hombres;2023;1.301
29002 Alcaucín;Hombres;2022;1.269
29002 Alcaucín;Hombres;2021;1.210
29002 Alcaucín;Hombres;2020;1.172
29002 Alcaucín;Hombres;2019;1.140
29002 Alcaucín;Hombres;2018;1.148
29002 Alcaucín;Hombres;2017;1.159
29002 Alcaucín;Hombres;2016;1.166
29002 Alcaucín;Hombres;2015;1.193
29002 Alcaucín;Mujeres;2025;1.295
29002 Alcaucín;Mujeres;2024;1.302
29002 Alcaucín;Mujeres;2023;1.253
29002 Alcaucín;Mujeres;2022;1.218
29002 Alcaucín;Mujeres;2021;1.156
29002 Alcaucín;Mujeres;2020;1.107
29002 Alcaucín;Mujeres;2019;1.090
29002 Alcaucín;Mujeres;2018;1.091
29002 Alcaucín;Mujeres;2017;1.094
29002 Alcaucín;Mujeres;2016;1.106
29002 Alcaucín;Mujeres;2015;1.182
29003 Alfarnate;Total;2025;1.034
29003 Alfarnate;Total;2024;1.046
29003 Alfarnate;Total;2023;1.059
29003 Alfarnate;Total;2022;1.039
29003 Alfarnate;Total;2021;1.057
29003 Alfarnate;Total;2020;1.065
29003 Alfarnate;Total;2019;1.069
29003 Alfarnate;Total;2018;1.105
