Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
29001 Alameda;;;Renta neta media por persona;2023;10.057
29001 Alameda;;;Renta neta media por persona;2022;8.994
29001 Alameda;;;Renta neta media por persona;2021;8.645
29001 Alameda;;;Renta neta media por persona;2020;7.989
29001 Alameda;;;Renta neta media por persona;2019;8.223
29001 Alameda;;;Renta neta media por persona;2018;7.799
29001 Alameda;;;Renta neta media por persona;2017;7.289
29001 Alameda;;;Renta neta media por persona;2016;6.966
29001 Alameda;;;Renta neta media por persona;2015;6.856
29001 Alameda;;;Renta neta media por hogar;2023;26.375
29001 Alameda;;;Renta neta media por hogar;2022;23.791
29001 Alameda;;;Renta neta media por hogar;2021;23.114
29001 Alameda;;;Renta neta media por hogar;2020;21.550
29001 Alameda;;;Renta neta media por hogar;2019;22.133
29001 Alameda;;;Renta neta media por hogar;2018;21.056
29001 Alameda;;;Renta neta media por hogar;2017;19.911
29001 Alameda;;;Renta neta media por hogar;2016;19.181
29001 Alameda;;;Renta neta media por hogar;2015;18.950
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2023;10.057
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2022;8.994
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2021;8.645
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2020;7.989
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2019;""
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2018;""
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2017;""
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2016;""
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por persona;2015;""
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2023;26.375
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2022;23.791
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2021;23.114
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2020;21.550
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2019;22.133
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2018;21.056
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2017;19.911
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2016;19.181
29001 Alameda;2900101 Alameda distrito 01;;Renta neta media por hogar;2015;18.950
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2023;10.237
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2022;9.088
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2021;8.740
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2020;7.858
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2019;8.199
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2018;7.820
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2017;7.239
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2016;6.802
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por persona;2015;6.764
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2023;26.815
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2022;23.816
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2021;23.176
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2020;21.320
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2019;22.176
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Renta neta media por hogar;2018;20.871
