Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
29001 Alameda;;;Índice de Gini;2023;25,2
29001 Alameda;;;Índice de Gini;2022;25,8
29001 Alameda;;;Índice de Gini;2021;25,6
29001 Alameda;;;Índice de Gini;2020;26,6
29001 Alameda;;;Índice de Gini;2019;25,4
29001 Alameda;;;Índice de Gini;2018;26,9
29001 Alameda;;;Índice de Gini;2017;27,2
29001 Alameda;;;Índice de Gini;2016;29
29001 Alameda;;;Índice de Gini;2015;29
29001 Alameda;;;Distribución de la renta P80/P20;2023;2,2
29001 Alameda;;;Distribución de la renta P80/P20;2022;2,2
29001 Alameda;;;Distribución de la renta P80/P20;2021;2,1
29001 Alameda;;;Distribución de la renta P80/P20;2020;2,2
29001 Alameda;;;Distribución de la renta P80/P20;2019;2
29001 Alameda;;;Distribución de la renta P80/P20;2018;2,1
29001 Alameda;;;Distribución de la renta P80/P20;2017;2,2
29001 Alameda;;;Distribución de la renta P80/P20;2016;2,4
29001 Alameda;;;Distribución de la renta P80/P20;2015;2,4
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2023;25,2
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2022;25,8
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2021;25,6
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2020;26,6
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2019;25,4
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2018;26,9
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2017;27,2
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2016;29
29001 Alameda;2900101 Alameda distrito 01;;Índice de Gini;2015;29
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2023;2,2
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2022;2,2
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2021;2,1
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2020;2,2
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2019;2
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2018;2,1
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2017;2,2
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2016;2,4
29001 Alameda;2900101 Alameda distrito 01;;Distribución de la renta P80/P20;2015;2,4
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2023;24,4
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2022;24,7
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2021;24,8
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2020;26,7
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2019;25,3
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2018;26,9
29001 Alameda;2900101 Alameda distrito 01;2900101001 Alameda sección 01001;Índice de Gini;2017;27,3
