Total Nacional;Municipios;Indicadores;Periodo;Total
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2024;12,30
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2023;16,27
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2022;18,54
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2021;17,90
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2020;17,97
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2019;14,45
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2018;18,73
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2017;20,80
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2016;23,99
Total Nacional;Málaga;Tasa de desempleo (Porcentaje);2015;25,60
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2024;88,34
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2023;84,48
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2022;81,69
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2021;82,29
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2020;82,55
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2019;85,98
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2018;81,67
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2017;79,42
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2016;75,92
Total Nacional;Málaga;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);2015;74,69
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2024;58,54
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2023;58,41
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2022;57,26
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2021;57,21
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2020;55,95
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2019;57,64
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2018;57,90
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2017;57,82
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2016;59,14
Total Nacional;Málaga;Tasa de actividad (Porcentaje);2015;59,54
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2024;""
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2023;87,7
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2022;87,5
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2021;87,0
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2020;86,1
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2019;87,0
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2018;86,7
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2017;87,5
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2016;87,8
Total Nacional;Málaga;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);2015;87,1
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2024;""
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2023;4,4
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2022;4,6
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2021;4,7
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2020;5,6
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2019;4,8
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2018;4,8
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2017;4,6
Total Nacional;Málaga;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);2016;4,8
