slug_tinsa,id_geografia,nombre
,14,España
andalucia,13,Andalucía
andalucia/malaga,12,Málaga (Provincia)
andalucia/malaga/malaga,15,Málaga (Municipio)
andalucia/malaga/malaga/bailen-miraflores,4,Bailén-Miraflores
andalucia/malaga/malaga/campanillas,9,Campanillas
andalucia/malaga/malaga/carretera-de-cadiz,7,Carretera de Cádiz
andalucia/malaga/malaga/centro,1,Centro
andalucia/malaga/malaga/churriana,8,Churriana
andalucia/malaga/malaga/ciudad-jardin,3,Ciudad Jardín
andalucia/malaga/malaga/cruz-de-humilladero,6,Cruz de Humilladero
andalucia/malaga/malaga/este,2,Este
andalucia/malaga/malaga/palma-palmilla,5,Palma-Palmilla
andalucia/malaga/malaga/puerto-de-la-torre,10,Puerto de la Torre
andalucia/malaga/malaga/teatinos-universidad,11,Teatinos-Universidad
