zona,periodo,valor,url
Andalucía,2001 1T,695.8325604505503,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2001 2T,726.3683971871136,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2001 3T,756.5039176529192,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2001 4T,781.3345201916649,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2002 1T,815.8803835923757,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2002 2T,854.4006520031658,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2002 3T,885.2710415086628,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2002 4T,924.0341071695544,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2003 1T,958.5297274760156,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2003 2T,997.4145823790108,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2003 3T,1055.5115941263368,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2003 4T,1099.8479380421122,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2004 1T,1149.7322520526582,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2004 2T,1229.4614864600817,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2004 3T,1282.9084875228614,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2004 4T,1333.83703587201,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2005 1T,1397.0685400306995,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2005 2T,1481.8558705599216,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2005 3T,1547.2386235199738,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2005 4T,1604.048804968516,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2006 1T,1662.1060663290878,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2006 2T,1716.5645088241658,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2006 3T,1769.3508730813578,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2006 4T,1843.0702910271195,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2007 1T,1869.491233658773,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2007 2T,1895.1124112195912,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2007 3T,1919.0779501362215,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2007 4T,1926.3126500454075,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2008 1T,1902.855683348469,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2008 2T,1886.0320856392227,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2008 3T,1870.637695213074,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2008 4T,1824.8372317376911,https://www.tinsa.es/precio-vivienda/andalucia/
Andalucía,2009 1T,1765.1033362986143,https://www.tinsa.es/precio-vivienda/andalucia/
