"indicador_id","descripcion","nombre_indicador","categoria_indicador","unidad","aplica_municipal","aplica_distrital","es_indice_porcentaje","tipo_indicador","codigo_ine","link_fuente","concepto_id","rango_fechas","periodicidad","notas_adaptacion"
"45","Alquiler anual medio €/m2","Alquiler anual medio por metro cuadrado (Euros/m2)","vivienda","€/m2","True","False","0","cantidad","69330","https://www.ine.es/jaxiT3/Tabla.htm?t=69330&L=0","","2010-2024","anual",""
"46","Alquiler mensual medio €","Alquiler mensual medio (Euros)","vivienda","€","True","False","0","cantidad","69330","https://www.ine.es/jaxiT3/Tabla.htm?t=69330&L=0","","2010-2024","anual",""
"4","# Edad media de la población","Edad media de la población","demográfico","edad","False","True","0","cantidad","31114","https://www.ine.es/jaxiT3/Tabla.htm?t=31114","","2015-2023","anual","Restringido a DISTRITAL (2015-2023, unico rango disponible para ese nivel). A nivel municipal se prioriza nuevo indicador 'Edad mediana' (tabla 69301, 2010-2024). OJO: media y mediana son estadisticos distintos (no estrictamente intercambiables); sustitucion aplicada por decision explicita, documentar en TFM."
"74","Edad mediana de la población","Edad mediana de la población (años)","demográfico","años","True","False","0","cantidad","69301","https://www.ine.es/jaxiT3/Datos.htm?t=69301","","2010-2024","anual","Fuente prioritaria a nivel MUNICIPAL (rango amplio 2010-2024). Sustituye a id 4 'Edad media' (31114) a nivel municipal; id 4 queda restringido a distrital."
"77","Esperanza de vida al nacer","Esperanza de vida al nacer (Años)","demográfico","años","True","False","0","cantidad","69301","https://www.ine.es/jaxiT3/Datos.htm?t=69301","","2010-2024","anual","Concepto nuevo, sin duplicado en el seed."
"10","# Hombres","Hombres","demográfico","👤","True","False","0","cantidad","2882","https://www.ine.es/jaxiT3/Tabla.htm?t=2882","","1996-2025","anual",""
"8","# Población total","Población","demográfico","👤","False","True","0","cantidad","31114","https://www.ine.es/jaxiT3/Tabla.htm?t=31114","poblacion_total","2015-2023","anual",""
"29","# Población total-Municipal","Total","demográfico","👤","False","False","0","cantidad","2882","https://www.ine.es/jaxiT3/Tabla.htm?t=2882","poblacion_total","1996-2025","anual",""
"2","€ Renta media por hogar","Renta neta media por hogar","socioeconómico","€","False","True","0","cantidad","31106","https://www.ine.es/jaxiT3/Datos.htm?t=31106","","2015-2023","anual","Corregido aplica_distrital a TRUE (el ADRH si publica renta por hogar a nivel distrito censal). Restringido a DISTRITAL (2015-2023); a nivel municipal usar id 27 (tabla 69303, rango amplio 2010-2024)."
"1","€ Renta media por persona","Renta neta media por persona","socioeconómico","€","False","True","0","cantidad","31106","https://www.ine.es/jaxiT3/Datos.htm?t=31106","","2015-2023","anual","Restringido a nivel DISTRITAL (2015-2023, unico rango disponible para ese nivel). A nivel municipal usar id 38 (tabla 69303, rango amplio 2010-2024)."
